"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
7,7.073,58.51455,"Unknown","null",0.933953265365514,-0.0985777350084351,0.188737855041642,0.598781605008774,0.424238697539813
11,7.073,70.53383,"Unknown","null",0.858829120891931,-0.219556984438123,0.00636685523650487,0.242367020815918,0.926758383708949
12,7.073,70.56666,"Unknown","null",0.950458020430735,-0.0733051871654116,0.262989608490051,0.667941646151116,0.495693521961332
13,7.075,70.62899,"Unknown","null",0.957230693163899,-0.0630614379133583,0.373977474640133,0.747955990491716,0.437797666008403
14,5.158,76.07381,"Unknown","null",1.00918570739493,0.0131916793851676,0.946371197282353,0.988708405485667,0.498924093386474
16,5.465,78.03295,"Unknown","null",1.11566177637054,0.157899726531459,0.458745963393418,0.803230954455905,0.470824991126341
18,7.693,83.06003,"Unknown","null",0.800488586229464,-0.32104726267368,0.00192897629178469,0.157421869707,1.20074935380265
22,8.212,84.04372,"Unknown","null",1.0354935291096,0.0503185380580291,0.599034575563684,0.873469046592498,0.231485059754195
24,8.047,84.045,"Unknown","null",0.946396089069057,-0.0794839830570133,0.221558633407465,0.632625563071522,0.407581404476959
25,8.82,84.07853,"Unknown","null",0.824148415413845,-0.279023928715729,0.0614212691701071,0.442673609277783,0.913980071151644
26,6.514,84.08057,"Unknown","null",1.05820999861609,0.0816259543885032,0.62967277895967,0.887820904726226,0.369212699731581
27,6.609,84.08082,"Unknown","null",1.23100387021667,0.299835297592985,0.215595627460317,0.626611231618064,0.871668361767475
28,9.098,84.08102,"Unknown","null",1.13459318428544,0.182175102607159,0.0604996093927664,0.440158578073674,0.697146413637345
29,6.214,84.91183,"Unknown","null",0.888690293865253,-0.170247363517337,0.119968844815654,0.524817267834121,0.696013435571498
31,5.897,85.02811,"Unknown","null",1.00166190406565,0.0023956306507138,0.977266262364394,0.994118838959994,0.357224676831117
32,6.603,85.02814,"Unknown","null",0.976816463161658,-0.033840579327066,0.684927348802879,0.90816038826931,0.352461213416531
33,7.119,85.02897,"Unknown","null",1.02621482506095,0.0373327724734054,0.500558535336463,0.826772549672893,0.476618976929135
35,5.051,85.05009,"Unknown","null",1.02499396965456,0.0356154219501761,0.864809448593156,0.964049486599931,0.731845539526762
36,1.337,85.06435,"Unknown","null",0.97679683957728,-0.0338695623891976,0.767899251797872,0.9343153577621,0.352297297744924
37,1.964,86.05759,"Unknown","null",0.904475532604303,-0.144846618539328,0.135548364638382,0.54382911741966,0.5639254794403
39,7.556,86.06078,"Unknown","null",1.02319277764744,0.0330779858988421,0.741020690519126,0.925231631760565,0.482528095798257
40,4.28,86.07072,"Unknown","null",0.95520544848557,-0.066117029138189,0.222315032145622,0.632731729010966,0.416598781805197
41,6.599,86.09546,"Unknown","null",1.02727043373479,0.0388160278573793,0.591825086178783,0.870007783183642,0.295107942065632
42,6.06,86.09584,"Unknown","null",1.07580681325553,0.105419030885995,0.424768827234355,0.782927683563116,0.330690242913699
43,6.42,86.09595,"Unknown","null",1.09360086604372,0.129086290555231,0.0298747606953574,0.368085665815972,0.787584736038873
44,6.224,86.90568,"Unknown","null",0.901167664588941,-0.150132546709175,0.16694082935426,0.579204572568171,0.563567968700614
56,5.045,88.08646,"Unknown","null",0.825696444759745,-0.276316601536319,0.260148290813632,0.666583934960143,0.68962549245596
59,7.539,90.05364,"low score: Alanine","Alanine and derivatives",0.942282271423797,-0.0857687945166425,0.570244652100345,0.858689713359759,0.306383816317575
60,7.079,90.97694,"Unknown","null",1.01939823589026,0.0277177617161612,0.472091768945003,0.809624952347727,0.331531241180117
63,6.296,91.05406,"Unknown","null",1.03134004391838,0.0445200832308945,0.412574485315949,0.777266187160435,0.654793949491528
67,1.646,93.04469,"Unknown","null",1.18003270241075,0.23882684174988,0.086813012434933,0.478852858219588,1.00342824372684
68,6.302,93.07027,"Unknown","null",1.02818072655458,0.0400938738583907,0.496031208212391,0.823733588423699,0.576475894563434
69,0.974,93.07056,"Unknown","null",1.01840861134391,0.026316523380407,0.755897564451563,0.931133585505213,0.698841846275166
70,4.315,94.03842,"Unknown","null",0.793283744078127,-0.33409110921561,0.0761942640351885,0.465639801271726,1.32544441584413
71,6.839,94.06398,"Unknown","null",1.03636964454703,0.0515386644527016,0.721117448166725,0.920627955302423,0.156786435349211
72,4.131,94.06526,"Unknown","null",1.45042178399429,0.536472498303176,0.095023165785197,0.491843352530921,1.08130292674839
73,5.475,94.06555,"Unknown","null",1.12948029036678,0.175659095663978,0.357568509609825,0.740568090789701,0.678535844985615
75,0.985,95.0597,"Unknown","null",1.05431210172193,0.0763020026059493,0.539132339437977,0.841856195117221,0.523311342830786
77,6.215,95.08525,"Unknown","null",0.774559083234893,-0.368552803143164,0.0331170732920675,0.375353283756991,1.10004322541128
79,2.293,96.04169,"no MS2: 2-Pyridone","Pyridinones",1.21523976229151,0.281240980286972,0.148594344283477,0.560375186043516,0.813189536212024
80,1.187,96.04279,"no MS2: 2-Pyridone","Pyridinones",1.06653382074312,0.0929297155563447,0.5293842509006,0.838560399329518,0.431101988877104
82,6.63,96.07744,"Unknown","null",0.9224913864359,-0.11639265450482,0.0454281783433303,0.402528629918704,0.546468379184771
99,5.319,97.1004,"Unknown","null",0.896270388383269,-0.157994062233351,0.335225442965215,0.72538615589004,0.459047058841371
103,1.574,98.05965,"Unknown","null",0.894989556999394,-0.160057246201065,0.106866717519189,0.509925457074883,0.572074351837716
104,1.822,98.06043,"Unknown","null",0.969591807542092,-0.0445505859159461,0.83340142250612,0.955401250515571,0.164667223118746
110,5.274,98.09529,"Unknown","null",1.0086898214625,0.0124826047373574,0.925390391875581,0.982331656385354,0.0460193972153935
123,1.229,100.07597,"Unknown","null",0.770870797106373,-0.375439019434447,0.00331665099670024,0.191542121108849,1.14470655828271
124,1.352,100.07603,"Unknown","null",0.815135160020085,-0.294888798091524,0.164231564544204,0.576068916103983,0.714638251422372
127,7.12,100.07693,"Unknown","null",0.988514867305538,-0.0166654305750917,0.918059035172202,0.980174471835788,0.284189633681152
135,1.226,100.1773,"Unknown","null",0.811436972714878,-0.30144905517634,0.0752518053020593,0.465639801271726,0.770749389151731
