"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
8015,5.022,520.57001,"Unknown","null",4.04834304239806
8014,4.878,520.5694,"Unknown","null",4.0462731728527
17589,1.346,1188.05066,"no MS2: SM 38:1;2O(FA 30:3)","ASM",3.9153996945951
1877,4.177,192.15953,"Unknown","null",3.41536582238116
9022,1.184,580.23254,"no MS2: PS 20:5","PS",3.38997386311779
7574,4.899,496.73773,"Unknown","null",3.2980113630193
9679,6.543,616.36884,"no MS2: DGDG O-8:0_4:0","EtherDGDG",3.27525566336002
14109,1.327,845.78735,"no MS2: SL 24:0;O/26:0","SL",3.0148402704345
16810,1.052,1075.73462,"no MS2: PI 50:5","PI",3.00958737588444
15898,1.05,980.67554,"no MS2: DGDG O-11:0_28:7","EtherDGDG",2.98673026950656
9953,6.329,631.80426,"Unknown","null",2.97597895609198
13798,1.335,829.5434,"no MS2: DGDG O-8:0_19:1","EtherDGDG",2.9571962916564
17086,1.066,1112.43347,"Unknown","null",2.93984928131341
7573,5.047,496.73767,"Unknown","null",2.88321068915069
15356,1.208,931.39624,"Unknown","null",2.87825100735984
17596,1.161,1189.80054,"no MS2: DGDG O-26:3_28:7","EtherDGDG",2.86532387298117
17131,1.089,1117.77368,"no MS2: SM 64:15;2O","SM",2.8576084743865
8645,5.647,559.15033,"Unknown","null",2.85472638099913
3635,5.649,291.07022,"Unknown","null",2.82969245238479
15411,1.343,936.43762,"Unknown","null",2.82206044996235
17652,1.35,1198.53943,"Unknown","null",2.80767896136619
11304,6.356,701.40961,"no MS2: SHexCer 10:0;2O/16:1;O","SHexCer",2.7910165842305
9934,1.034,630.68488,"Unknown","null",2.71696602585771
11531,1.337,710.16284,"Unknown","null",2.7026779877814
16209,1.344,1011.87396,"no MS2: SM 33:1;2O(FA 22:0)","ASM",2.6941699105738
12646,1.319,769.51178,"no MS2: MGDG O-9:0_26:6","EtherMGDG",2.68878525614146
1878,4.336,192.15958,"Unknown","null",2.66618679811707
15297,1.081,926.39069,"Unknown","null",2.60671339555732
5118,2.181,370.29382,"low score: CAR 14:1","CAR",2.6006386615894
14725,1.139,883.6051,"no MS2: ST 24:1;O4;T/26:6","TDCAE",2.58717865853462
3688,4.327,295.06552,"Unknown","null",2.58239285476125
10164,4.899,643.18878,"Unknown","null",2.57768133365707
1643,1.165,181.0265,"Unknown","null",2.56409661297186
2100,1.694,207.08716,"low score: Diphenylcyclopropenone","Benzene and substituted derivatives",2.55142451049134
15900,0.976,980.7085,"no MS2: Hex2Cer 17:1;2O/26:4","Hex2Cer",2.55121777647851
16087,1.143,999.69019,"no MS2: PI 44:1","PI",2.54831459568295
16554,1.071,1046.71362,"no MS2: DGDG O-16:2_28:7","EtherDGDG",2.53651107270394
16405,1.334,1032.9447,"no MS2: DG 21:0_44:8","DG",2.51583902470347
15924,1.348,982.84668,"no MS2: DGTS 26:1_26:4","DGTS",2.50575250678276
1531,4.173,174.14893,"Unknown","null",2.48961004891215
352,4.311,120.01908,"Unknown","null",2.48413106273283
15036,1.143,905.62927,"no MS2: SHexCer 15:2;2O/26:2;O","SHexCer",2.48331906984908
9246,4.899,591.31891,"Unknown","null",2.47178512786927
16460,1.351,1038.10046,"Unknown","null",2.43718285121302
667,5.722,137.07095,"1-Methylnicotinamide","Nicotinamides",2.43048355532856
13066,1.343,790.71014,"no MS2: Cer 9:0;2O/44:8","Cer_NDS",2.41489816904713
6830,6.354,458.77139,"Unknown","null",2.41224118919517
3962,5.648,307.04449,"Unknown","null",2.40445183047345
11201,1.339,696.20172,"Unknown","null",2.39997911675231
5198,6.358,374.80963,"Unknown","null",2.38864304937546
7571,5.043,496.56424,"Unknown","null",2.381456382229
15496,0.999,944.15717,"Unknown","null",2.37519765866677
9740,0.972,619.73981,"Unknown","null",2.37020316890622
9370,1.131,598.91626,"Unknown","null",2.35342081911902
16866,1.338,1083.73267,"no MS2: DGDG O-18:0_28:7","EtherDGDG",2.35322856447727
3376,7.242,276.14581,"Unknown","null",2.34902101859468
17288,1.08,1141.45251,"Unknown","null",2.34667610241682
15751,1.236,967.64722,"no MS2: MGDG O-22:5_28:7","EtherMGDG",2.34497749510101
17306,1.163,1143.2937,"Unknown","null",2.34405157421032
12638,1.233,769.12024,"Unknown","null",2.34002492247913
10298,1.019,650.12433,"Unknown","null",2.33878775719912
12255,1.335,746.72882,"no MS2: Cer 9:0;2O/40:2","Cer_NDS",2.33770923968726
17402,1.105,1158.79114,"no MS2: Hex3Cer 16:0;2O/28:4","Hex3Cer",2.32895777115081
16483,1.202,1040.48633,"Unknown","null",2.31699935976496
5666,1.978,400.34247,"low score: Palmitoylcarnitine cation","Acyl carnitines",2.31363337824126
12581,1.341,765.84924,"Unknown","null",2.3072616406453
6364,7.335,434.21872,"low score: LPC 10:0","LPC",2.29731681955656
17380,1.091,1156.45752,"Unknown","null",2.28618490942523
11674,1.335,717.08368,"Unknown","null",2.28501132105309
664,5.646,137.04607,"Hypoxanthine","Hypoxanthines",2.28356855457663
8429,5.112,546.2572,"no MS2: PS 3:0_16:4","PS",2.28192883324912
8682,1.025,561.65173,"Unknown","null",2.27721164436376
16771,1.077,1070.74011,"no MS2: HBMP 12:0_22:4_22:6","HBMP",2.27512482508774
7673,4.884,502.32739,"no MS2: LPC O-18:4","EtherLPC",2.2707120513723
17079,1.344,1110.98938,"no MS2: PC 15:0_44:1","PC",2.26794243809111
6161,5.647,424.15668,"Unknown","null",2.2674640364685
3659,6.354,292.84586,"Unknown","null",2.26595421336972
9869,4.879,627.29736,"Unknown","null",2.26527318109434
4857,1.048,357.12747,"Pioglitazone","Phenol ethers",2.26254058695043
9595,1.33,611.13464,"Unknown","null",2.25492681668361
16832,1.19,1078.23682,"Unknown","null",2.23937119898725
7706,4.315,504.34027,"no MS2: SL 10:0;O/16:2;O","SL",2.23860308004238
14527,1.037,871.60571,"no MS2: TG O-16:4_16:4_22:6","EtherTG",2.22421033784216
15579,1.085,951.90173,"Unknown","null",2.21818396718569
15891,7.095,980.32031,"Unknown","null",2.217260435688
