"Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","VIP"
6023,11.981,704.56439,"no MS2: DG O-43:11|DG O-21:5_22:6","EtherDG",1.78758698396839
5385,8.544,664.53033,"low score: LPC 28:0","LPC",1.77513754251219
7017,8.985,764.52325,"PE 38:6|PE 16:0_22:6","PE",1.77346380826823
9039,10.479,848.65375,"PC O-42:6|PC O-21:3_21:3","EtherPC",1.76778396571299
8062,9.108,807.57196,"RIKEN P-VS1 ID-11593 from Mouse_Muscle_WT_CTX1_Ctr","Unknown",1.76744199337181
10469,13.271,917.72467,"TG O-57:12|TG O-19:5_18:2_20:5","EtherTG",1.76166327960112
7545,8.957,786.47333,"RIKEN P-VS1 ID-10686 from Mouse_SmallIntestine_WT_N_F1DHA","Unknown",1.75597709498522
8797,9.044,838.51373,"no MS2: SHexCer 39:7;O2|SHexCer 23:3;O2/16:4","SHexCer",1.75206280557734
12613,9.006,1281.80103,"Unknown","null",1.75002692431349
9725,13.08,880.71564,"PC O-44:4|PC O-24:1_20:3","EtherPC",1.74809312925733
8522,8.371,826.53699,"PC 40:10|PC 20:5_20:5","PC",1.73608741085158
8482,8.09,824.57825,"RIKEN P-VS1 ID-12362 from Mouse_AdrenalGlands_WT_N_Ctr","Unknown",1.73247448119902
5694,14.268,685.58984,"low score: SE 28:3/18:0","EGSE",1.73076822450059
10397,13.624,913.66913,"TG O-57:14|TG O-15:4_21:5_21:5","EtherTG",1.72812075425036
10295,13.208,907.73236,"TG O-56:10|TG O-16:4_19:2_21:4","EtherTG",1.72644124866462
6628,9.028,745.59259,"SM 36:2;O3","SM",1.72582864435386
9623,11.745,876.68518,"PC O-44:6|PC O-28:5_16:1","EtherPC",1.72193395220115
9748,13.084,881.71851,"SM 46:4;O3","SM",1.72055793703345
10546,13.526,922.6991,"low score: TG 57:14|TG 17:4_20:5_20:5","TG",1.71941085212222
8801,9.214,838.57654,"no MS2: PE O-45:11|PE O-17:4_28:7","EtherPE",1.71394539805928
9123,11.455,851.66669,"SM 44:5;O3|SM 24:0;O2(FA 20:4)","ASM",1.71347458649473
3761,7.22,551.42261,"SM 23:0;O2","SM",1.71147668749122
4496,8.624,605.37567,"Unknown","null",1.70768645385875
6395,9.461,731.67346,"Unknown","null",1.70170914645134
1947,14.287,397.384,"Unknown","null",1.70148441601828
10716,9.023,932.55499,"no MS2: DGDG O-36:10|DGDG O-18:5_18:5","EtherDGDG",1.70061468564385
6233,8.119,719.56946,"SM 34:1;O3","SM",1.68759147639144
8940,8.452,844.50964,"SQDG 35:5","SQDG",1.68678686926436
10032,13.478,896.68402,"low score: TG 55:13|TG 17:4_18:4_20:5","TG",1.67444830557639
9095,11.42,850.66724,"PC O-42:5|PC O-22:2_20:3","EtherPC",1.67388396459318
3491,8.096,527.40698,"low score: NAOrn 28:6","NAOrn",1.66843902918099
6379,8.482,730.67212,"Unknown","null",1.66822762318295
11200,13.548,971.71198,"TG 60:13|TG 18:2_20:5_22:6","TG",1.66592041227222
10480,13.811,918.70703,"low score: TG 55:10;O|TG 16:0_22:6_17:4;O","OxTG",1.65980697413965
8798,7.492,838.55701,"PC 41:11","PC",1.65621368092219
10229,13.013,904.71527,"PC O-46:6|PC O-24:1_22:5","EtherPC",1.65354655543979
2208,3.836,417.18353,"Unknown","null",1.65051932168776
10473,13.487,917.80231,"RIKEN P-VS1 ID-15753 from Mouse_AdrenalGlands_fads2KO_N_Ctr","Unknown",1.65025002912078
10117,12.925,900.68158,"PC O-46:8|PC O-28:3_18:5","EtherPC",1.65012788917334
12769,9.034,1332.43433,"Unknown","null",1.64809622192861
7271,11.099,774.64099,"PC O-36:1","EtherPC",1.64723234831271
11391,14.821,988.84204,"no MS2: TG 61:9|TG 27:1_17:4_17:4","TG",1.64704052826053
7221,7.723,772.55035,"PC O-37:9","EtherPC",1.64696939113906
9900,11.076,889.63947,"low score: TG 54:12|TG 5:0_17:3_32:9","TG",1.64645564608062
3582,8.554,536.50562,"no MS2: Cer 34:2;O2|Cer 18:0;O2/16:2","Cer_NDS",1.64602513045455
10036,13.333,896.74158,"low score: PC O-45:3|PC O-28:2_17:1","EtherPC",1.64586979802729
3009,6.24,485.35797,"low score: NAGlySer 21:1;O","NAGlySer",1.64537904190439
10665,14.708,928.76843,"TG 54:6;O2|TG 15:2_17:3_22:1;O2","OxTG",1.62988521506361
10144,12.925,901.68591,"low score: SM 47:4;O2","SM",1.62633300756814
10830,13.471,940.74176,"TG 58:12|TG 18:3_18:3_22:6","TG",1.62594111990017
10012,13.337,895.73822,"low score: TG O-55:9|TG O-19:5_18:2_18:2","EtherTG",1.6203988949469
6560,9.946,742.57269,"no MS2: LPC 34:3","LPC",1.61642254277734
10777,13.243,936.72632,"TG 58:14|TG 18:4_20:5_20:5","TG",1.61633101835427
6680,9.995,748.61041,"low score: HexCer 39:3;O2|HexCer 17:0;O2/22:3","HexCer_NDS",1.6151713776807
9006,8.554,847.60266,"PI 33:1(d7)|PI 15:0_18:1(d7)","PI",1.61212316784887
6741,13.089,752.56573,"no MS2: RIKEN P-VS1 ID-9414 from Cell_HeLa_WT_N_Ctr","Unknown",1.6082227590632
8444,10.049,822.63269,"PC O-40:5|PC O-18:1_22:4","EtherPC",1.60791140390712
9137,10.281,852.57422,"low score: PS 39:2","PS",1.60455606659007
11709,8.676,1046.66089,"low score: PI 49:10","PI",1.5971922188292
3388,5.803,520.26337,"low score: LPS 18:3","LPS",1.59715033201796
6546,8.587,741.55322,"SM 36:4;O3","SM",1.592104669513
13162,8.624,1562.11145,"RIKEN P-VS1 ID-20722 from Mouse_AdrenalGlands_fads2KO_N_Ctr","Unknown",1.58624958636487
11163,13.705,968.77094,"TG 60:12|TG 18:2_20:4_22:6","TG",1.58251035950958
8289,13.222,815.61755,"TG 48:7|TG 8:0_18:1_22:6","TG",1.58040522304876
9992,13.781,894.75568,"TG 54:7|TG 18:2_18:2_18:3","TG",1.57648690173604
9622,11.681,876.68365,"PC O-44:6|PC O-24:2_20:4","EtherPC",1.57618474151501
11176,13.839,969.71533,"low score: TG O-61:14|TG O-18:5_21:3_22:6","EtherTG",1.57465781976421
1946,14.353,397.38281,"Unknown","null",1.57144985231974
7849,9.069,798.53033,"no MS2: PC O-39:10|PC O-24:6_15:4","EtherPC",1.5684735997233
3113,8.563,495.4332,"Unknown","null",1.56834886360915
4656,8.443,616.46539,"no MS2: CerP 34:2;O2|CerP 12:0;O2/22:2","CerP",1.56737611443107
4277,7.675,590.45673,"LPC O-24:2","EtherLPC",1.56455498295862
1811,4.22,387.19421,"Unknown","null",1.56230847890007
9599,13.966,875.78162,"RIKEN P-VS1 ID-14347 from Mouse_Muscle_WT_CTX3_Ctr","Unknown",1.56108982919618
