"Dataset","Analysis","Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
"Lip_Neg","all",1800,9.436,718.53851,"DMPE 32:0|DMPE 16:0_16:0","DMPE",0.81354802491574,-0.297700582102367,0.00155143874324584,0.0184899759091691,1.17215626925078
"Lip_Neg","all",2350,10.044,856.6073,"PC 38:3|PC 18:0_20:3","PC",1.35454680449795,0.437810244739975,0.00153270379595229,0.0184899759091691,1.35783624160415
"Lip_Neg","all",2464,8.984,885.55133,"PI 38:4|PI 18:0_20:4","PI",1.115170348163,0.157264106269729,0.00156498228698297,0.0184899759091691,0.755082896584901
"Lip_Neg","all",2572,9.017,938.53687,"low score: PC 40:8;O4|PC 22:5_18:3;O4","OxPC",0.881015300693212,-0.182761020074778,0.00147355175222735,0.0184899759091691,0.889027788621434
"Lip_Neg","all",2814,8.276,1191.76941,"RIKEN N-VS1 ID-8792 from Mouse_Macrophage_WT_N_F1AA","Unknown",0.783563950044675,-0.351877070799169,0.00148043769295783,0.0184899759091691,1.15431523716745
"Lip_Neg","all",2478,9.074,896.5639,"low score: SHexCer 42:6;O3","SHexCer",0.792611273492926,-0.33531460765127,0.00171737775281717,0.0199215819326792,1.20666500971732
"Lip_Neg","all",2080,9.723,790.54199,"PE 40:6|PE 18:0_22:6","PE",1.44107167153172,0.527142089566823,0.00178083198039843,0.0202887643481107,1.56307226817805
"Lip_Neg","all",2602,9.079,964.55389,"low score: PC 42:9;O4|PC 22:6_20:3;O4","OxPC",0.783673033807797,-0.351676240157763,0.00201547006773899,0.0217944051392793,1.24965127736227
"Lip_Neg","all",2627,7.532,985.60718,"no MS2: DLCL 40:1|DLCL 10:0_30:1","DLCL",0.755800976217626,-0.403921712855487,0.00200176207998078,0.0217944051392793,1.22666887525254
"Lip_Neg","all",2310,10.862,843.66064,"SM 41:2;O2","SM",0.754491476358581,-0.406423492458353,0.00214672409152963,0.0224526224655066,1.16299673840749
"Lip_Neg","all",2184,9.426,814.59656,"PC O-36:3|PC O-18:1_18:2","EtherPC",0.772627099953942,-0.372155813792423,0.00221055677233082,0.022747342270114,1.2004040053659
"Lip_Neg","all",2533,10.514,923.64752,"low score: DGDG O-32:0|DGDG O-26:0_6:0","EtherDGDG",0.688080172775238,-0.539351422217912,0.00273154861992327,0.0272301253048601,1.51608353024128
"Lip_Neg","all",2234,9.215,828.57666,"PC 36:3|PC 16:0_20:3","PC",1.27763167228157,0.353471982480748,0.0031422480009841,0.0304697930561593,1.13309404871246
"Lip_Neg","all",2514,7.607,913.58783,"low score: SMGDG 40:4|SMGDG 20:2_20:2","SMGDG",0.841927638729703,-0.248231851776115,0.00315204755753372,0.0304697930561593,0.979909249610695
"Lip_Neg","all",1106,5.405,512.29913,"LPC 14:0","LPC",1.26601641176333,0.340296106990657,0.00355436563182517,0.031494124246111,1.31494791587552
"Lip_Neg","all",1891,8.766,738.5116,"PE 36:4|PE 18:2_18:2","PE",0.623815107314615,-0.680809603117972,0.0036404485998926,0.031494124246111,1.94548238268807
"Lip_Neg","all",2356,10.484,857.66541,"RIKEN N-VS1 ID-6967 from Mouse_Brain_WT_N_F1DHA","Unknown",0.763652611251137,-0.389011595371748,0.00365292350190002,0.031494124246111,1.29177669212539
"Lip_Neg","all",955,5.86,476.27744,"LPE 18:2","LPE",0.762383979620857,-0.391410291437486,0.00395079441625932,0.0331658794417558,1.32793432235733
"Lip_Neg","all",2298,10.254,840.61475,"PC O-38:4|PC O-18:0_20:4","EtherPC",0.786835662200145,-0.34586574770135,0.00391461013543361,0.0331658794417558,1.16215531907599
"Lip_Neg","all",2124,10.045,796.58661,"DMPE 38:3|DMPE 18:0_20:3","DMPE",1.36568762009239,0.449627527199429,0.00408341706314549,0.0334002575164977,1.43034723609364
"Lip_Neg","all",1574,5.794,632.31818,"low score: PS 24:3;O|PS 18:3_6:0;O","OxPS",0.802221606179156,-0.317927272205706,0.00432013074346083,0.0348891571433925,1.0928110510933
"Lip_Neg","all",2482,9.079,897.56726,"no MS2: PI 36:0;O2|PI 18:0_18:0;O2","OxPI",0.795260215977624,-0.330501095025323,0.00492405572503301,0.0378499705129043,1.2260299421438
"Lip_Neg","all",433,5.797,279.23267,"FA 18:2","FA",0.804401169889485,-0.314012915043536,0.0058420697760753,0.0425459043793926,1.08449569933467
"Lip_Neg","all",1490,8.775,598.45917,"no MS2: SL 34:2;O|SL 14:2;O/20:0","SL",0.845973057246539,-0.241316378109245,0.00560501825287258,0.0425459043793926,1.14479014577606
"Lip_Neg","all",1995,9.072,768.55457,"DMPE 36:3|DMPE 18:1_18:2","DMPE",0.847433031657726,-0.238828731019133,0.0057666986878101,0.0425459043793926,0.896173434487686
"Lip_Neg","all",2070,9.937,788.58698,"PC O-34:2|PC O-16:1_18:1","EtherPC",0.793425097439071,-0.333834061686725,0.00570390294842799,0.0425459043793926,1.17329222710021
"Lip_Neg","all",1066,5.658,504.3107,"RIKEN N-VS1 ID-2229 from Mouse_BAT_fads2KO_N_Ctr","Unknown",0.798343704910724,-0.324918102054808,0.00596294241476791,0.0427455871979992,1.12104634746418
"Lip_Neg","all",1300,9.029,552.49933,"no MS2: Cer 34:1;O3|Cer 23:1;O2/11:0(3OH)","Cer_BS",0.858879518228894,-0.219472327487024,0.00627573661251648,0.0443036779429639,1.09096999158569
"Lip_Neg","all",2497,8.781,900.5321,"no MS2: GD2 45:0;O2","GD2",0.76055021674236,-0.39488458716983,0.00635788907334,0.0443036779429639,1.1789314233257
"Lip_Neg","all",2170,13.081,810.68488,"HexCer 42:1;O2","HexCer_NDS",0.749126974581931,-0.416717823367405,0.00697166328812869,0.0464709921467583,1.37193782382015
"Lip_Neg","all",2332,9.248,852.5755,"PC 38:5|PC 18:0_20:5","PC",1.33881633482967,0.420958058492918,0.00715679861918384,0.0470725517426731,1.44740500398285
"Lip_Neg","paired",2342,11.887,854.67224,"HexCer 42:2;O2","HexCer_NDS",0.344647278754763,-1.53680747067106,1.63357742518884e-09,5.2111119863524e-07,2.82106741142263
"Lip_Neg","paired",2082,10.003,790.59961,"PC O-34:1|PC O-18:1_16:0","EtherPC",0.695280517750376,-0.524332930121783,3.41127275976075e-09,7.2546400690912e-07,1.46187751970022
"Lip_Neg","paired",1491,9.028,598.50598,"Cer 34:1;O3","Cer_NP",0.771885389442298,-0.373541444749153,9.04553304008057e-09,1.21060460953143e-06,1.20649051273702
"Lip_Neg","paired",2351,13.079,856.68842,"CL 90:1|CL 24:0_24:0_24:0_18:1","CL",0.72308102160182,-0.467770783929305,9.48749693990149e-09,1.21060460953143e-06,1.28438351244352
"Lip_Neg","paired",1986,9.956,764.58301,"PC O-32:0|PC O-16:0_16:0","EtherPC",0.637103738459958,-0.650399791830599,1.65005746309313e-08,1.75456110242237e-06,1.70535320860726
"Lip_Neg","paired",1300,9.029,552.49933,"no MS2: Cer 34:1;O3|Cer 23:1;O2/11:0(3OH)","Cer_BS",0.811940580638423,-0.300553942790861,2.55986688424034e-08,2.25895951213227e-06,1.00281045513006
"Lip_Neg","paired",2620,8.783,974.60883,"no MS2: PI-Cer 48:9;O3|PI-Cer 22:3;O2/26:6;O","PI_Cer",0.54883166666399,-0.865564369897973,4.07860688893449e-08,2.89127910571134e-06,2.18840315893815
"Lip_Neg","paired",2506,8.778,906.617,"Hex2Cer 34:1;O2","Hex2Cer",0.612936702475812,-0.706189999338857,5.14820422241213e-08,3.28455429389894e-06,1.87508298236067
"Lip_Neg","paired",1574,5.794,632.31818,"low score: PS 24:3;O|PS 18:3_6:0;O","OxPS",0.727665524659965,-0.458652634572982,8.34418044210832e-08,4.83962465642282e-06,1.2974689672204
"Lip_Neg","paired",2373,8.779,860.61072,"HexCer 44:6;O4","HexCer_EOS",0.576561774648984,-0.794452903827025,9.77553411954464e-08,5.19732564022457e-06,1.7694194458749
"Lip_Neg","paired",2504,8.372,904.60254,"no MS2: Hex2Cer 34:2;O2","Hex2Cer",0.569067235167885,-0.813328978185382,5.10942090144059e-07,2.3169545304853e-05,1.8279932684032
"Lip_Neg","paired",2589,8.772,951.52783,"DLCL 38:4","DLCL",0.846103431015305,-0.24109406003871,5.50616524519573e-07,2.3169545304853e-05,0.945611586098193
"Lip_Neg","paired",1967,9.88,762.56482,"PC O-32:1|PC O-14:1_18:0","EtherPC",0.582297839794893,-0.780170828206295,1.01179238960282e-06,3.04203362580223e-05,1.81904208323381
"Lip_Neg","paired",2200,8.418,818.55664,"PC 34:2;O|PC 18:2_16:0;O","OxPC",0.651859678676293,-0.61736665599129,1.04897711234559e-06,3.04203362580223e-05,1.52654281333046
"Lip_Neg","paired",2531,12.923,922.69562,"PC O-44:5|PC O-24:1_20:4","EtherPC",0.619878201970478,-0.689943322412281,1.00913851909407e-06,3.04203362580223e-05,1.55014811424829
"Lip_Neg","paired",2672,8.773,1019.51587,"low score: DLCL 44:12|DLCL 22:6_22:6","DLCL",0.821250610100988,-0.284105557684549,9.74633131312672e-07,3.04203362580223e-05,1.05820580674148
"Lip_Neg","paired",2733,8.772,1087.50208,"low score: MLCL 48:13|MLCL 15:4_15:4_18:5","MLCL",0.82161731052401,-0.283461516999441,1.01182220098634e-06,3.04203362580223e-05,1.04967827891497
"Lip_Neg","paired",2602,9.079,964.55389,"low score: PC 42:9;O4|PC 22:6_20:3;O4","OxPC",0.724052851576809,-0.46583308552799,2.07494871946667e-06,5.7557273174771e-05,1.20555612437768
"Lip_Neg","paired",2542,11.539,925.6662,"PEtOH 51:8","PEtOH",0.578673095397375,-0.789179525324029,2.34063927871572e-06,6.22219941591928e-05,1.88827393679886
"Lip_Neg","paired",2170,13.081,810.68488,"HexCer 42:1;O2","HexCer_NDS",0.692955920808934,-0.529164509989371,3.51739497901147e-06,8.84645729961118e-05,1.39899372763855
"Lip_Neg","paired",2273,9.081,831.58765,"no MS2: NAGlySer 46:10;O2|NAGlySer 24:5;O(FA 22:4)","NAGlySer",0.701133088330928,-0.512239773831633,3.60513933839954e-06,8.84645729961118e-05,1.25688855828437
